idna_subject,checker_type,destination,tested_at
invalid.invalid,AVAILABILITY,test.list,2026-06-19 09:09:28.507661+00:00
_http._tcp.example.org,AVAILABILITY,test.list,2026-06-19 09:09:28.597033+00:00
_http._tcp.example.com,AVAILABILITY,test.list,2026-06-19 09:09:28.688192+00:00
_ldap._tcp.example.com,AVAILABILITY,test.list,2026-06-19 09:09:28.766328+00:00
failed/syntax-test,AVAILABILITY,test.list,2026-06-19 09:09:28.824459+00:00
_ldap._tcp.example.org,AVAILABILITY,test.list,2026-06-19 09:09:28.870863+00:00
_http._tcp.example.net,AVAILABILITY,test.list,2026-06-19 09:09:28.894353+00:00
_ldap._tcp.example.net,AVAILABILITY,test.list,2026-06-19 09:09:28.967953+00:00
6003388.com,AVAILABILITY,test.list,2026-06-19 09:09:29.101751+00:00
809002.com,AVAILABILITY,test.list,2026-06-19 09:09:29.207146+00:00
6007788.com,AVAILABILITY,test.list,2026-06-19 09:09:29.345315+00:00
6000788.com,AVAILABILITY,test.list,2026-06-19 09:09:29.412124+00:00
8000818.com,AVAILABILITY,test.list,2026-06-19 09:09:29.600689+00:00
8030888.com,AVAILABILITY,test.list,2026-06-19 09:09:29.607347+00:00
6008999.com,AVAILABILITY,test.list,2026-06-19 09:09:29.795962+00:00
6009988.com,AVAILABILITY,test.list,2026-06-19 09:09:29.816824+00:00
1120067982.world,AVAILABILITY,test.list,2026-06-19 09:09:29.934100+00:00
xn--disordapp-s3a.com,AVAILABILITY,test.list,2026-06-19 09:09:29.962790+00:00
8070888.com,AVAILABILITY,test.list,2026-06-19 09:09:30.185592+00:00
1220057982.world,AVAILABILITY,test.list,2026-06-19 09:09:30.266050+00:00
8050888.com,AVAILABILITY,test.list,2026-06-19 09:09:30.276506+00:00
1bcde.com,AVAILABILITY,test.list,2026-06-19 09:09:30.467267+00:00
4dle.info,AVAILABILITY,test.list,2026-06-19 09:09:30.966523+00:00
360safe.xn--com-5ma.cn,AVAILABILITY,test.list,2026-06-19 09:09:31.140490+00:00
faucet.actinium.org,AVAILABILITY,test.list,2026-06-19 09:09:32.312469+00:00
www.kennethreitz.org,AVAILABILITY,test.list,2026-06-19 09:09:32.327645+00:00
fastpool.actinium.org,AVAILABILITY,test.list,2026-06-19 09:09:33.648958+00:00
discord.actinium.org,AVAILABILITY,test.list,2026-06-19 09:09:33.702600+00:00
www.discord.actinium.org,AVAILABILITY,test.list,2026-06-19 09:09:35.043659+00:00
transfer.actinium.org,AVAILABILITY,test.list,2026-06-19 09:09:35.084149+00:00
ln-explorer.actinium.org,AVAILABILITY,test.list,2026-06-19 09:09:36.658206+00:00
test-explorer.actinium.org,AVAILABILITY,test.list,2026-06-19 09:09:40.492642+00:00
24log.fr,AVAILABILITY,test.list,2026-06-20 07:55:07.242278+00:00
