subject,idna_subject,expiration_date,epoch,registrar
mypdns.org,mypdns.org,04-oct-2028,1854230400.0,
mypdns.org,mypdns.org,04-oct-2028,1854230400.0,
yaml.org,yaml.org,05-jan-2030,1893801600.0,
yaml.org,yaml.org,05-jan-2030,1893801600.0,
matomo.org,matomo.org,08-sep-2026,1788825600.0,
matomo.org,matomo.org,08-sep-2026,1788825600.0,
adamwarner.co.uk,adamwarner.co.uk,18-oct-2025,1760745600.0,
adblockplus.org,adblockplus.org,09-jun-2026,1780963200.0,RegistryGate GmbH
asciinema.org,asciinema.org,20-sep-2025,1758326400.0,1API GmbH
dnspython.org,dnspython.org,28-may-2026,1779926400.0,Gandi SAS
publicsuffix.org,publicsuffix.org,08-mar-2027,1804464000.0,MarkMonitor Inc.
example.org,example.org,30-aug-2025,1756512000.0,ICANN
247realmedia.org,247realmedia.org,26-jan-2026,1769385600.0,MarkMonitor Inc.
22pixx.xyz,22pixx.xyz,13-jun-2026,1781308800.0,"Go Daddy, LLC"
24log.it,24log.it,20-nov-2025,1763596800.0,
24log.fr,24log.fr,01-jun-2026,1780272000.0,INSTRA CORPORATION PTY LTD
24log.ru,24log.ru,03-nov-2025,1762128000.0,RU-CENTER-RU
meetrics.org,meetrics.org,04-jul-2026,1783123200.0,Squarespace Domains II LLC
presage.io,presage.io,01-may-2026,1777593600.0,Gandi SAS
360safe.com.cn,360safe.com.cn,20-jan-2026,1768867200.0,广东时代互联科技有限公司
1ts18.top,1ts18.top,28-jan-2026,1769558400.0,URL Solutions Inc.
rettighedsalliancen.dk,rettighedsalliancen.dk,30-sep-2025,1759190400.0,
tawk.to,tawk.to,11-jul-2030,1909958400.0,Government of Kingdom of Tonga
firebog.net,firebog.net,24-jun-2026,1782259200.0,"Cloudflare, Inc."
play-bow.net,play-bow.net,07-jun-2026,1780790400.0,"Cloudflare, Inc."
pi-hole.net,pi-hole.net,20-mar-2033,1994889600.0,Porkbun LLC
example.net,example.net,30-aug-2025,1756512000.0,RESERVED-Internet Assigned Numbers Authority
207.net,207.net,10-jul-2026,1783641600.0,Nom-iq Ltd. dba COM LAUDE
2o7.net,2o7.net,29-sep-2025,1759104000.0,Nom-iq Ltd. dba COM LAUDE
304br.net,304br.net,06-jan-2026,1767657600.0,MarkMonitor Inc.
303br.net,303br.net,22-jun-2026,1782086400.0,MarkMonitor Inc.
306br.net,306br.net,06-jan-2026,1767657600.0,MarkMonitor Inc.
305br.net,305br.net,06-jan-2026,1767657600.0,MarkMonitor Inc.
307br.net,307br.net,06-jan-2026,1767657600.0,MarkMonitor Inc.
309br.net,309br.net,06-jan-2026,1767657600.0,MarkMonitor Inc.
308br.net,308br.net,06-jan-2026,1767657600.0,MarkMonitor Inc.
recaptcha.net,recaptcha.net,06-jan-2026,1767657600.0,MarkMonitor Inc.
use-application-dns.net,use-application-dns.net,04-jul-2026,1783123200.0,MarkMonitor Inc.
