idna_subject,checker_type,destination,source,tested_at
included_at_epoch,AVAILABILITY,1120067982.world,/home/travis/build/PyFunceble/ci_test/1120067982.world,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-01T21:09,AVAILABILITY,1120067982.world,/home/travis/build/PyFunceble/ci_test/1120067982.world,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,1120067982.world,/home/travis/build/PyFunceble/ci_test/1120067982.world,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,1120067982.world,/home/travis/build/PyFunceble/ci_test/1120067982.world,2020-12-22T23:46:26.979058
status,AVAILABILITY,1120067982.world,/home/travis/build/PyFunceble/ci_test/1120067982.world,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,1220057982.world,/home/travis/build/PyFunceble/ci_test/1220057982.world,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-01T21:09,AVAILABILITY,1220057982.world,/home/travis/build/PyFunceble/ci_test/1220057982.world,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,1220057982.world,/home/travis/build/PyFunceble/ci_test/1220057982.world,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,1220057982.world,/home/travis/build/PyFunceble/ci_test/1220057982.world,2020-12-22T23:46:26.979058
status,AVAILABILITY,1220057982.world,/home/travis/build/PyFunceble/ci_test/1220057982.world,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,140.82.32.54__032discord.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032discord.actinium.org,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-21T12:17,AVAILABILITY,140.82.32.54__032discord.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032discord.actinium.org,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,140.82.32.54__032discord.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032discord.actinium.org,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,140.82.32.54__032discord.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032discord.actinium.org,2020-12-22T23:46:26.979058
status,AVAILABILITY,140.82.32.54__032discord.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032discord.actinium.org,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,140.82.32.54__032explorer.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032explorer.actinium.org,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-21T12:17,AVAILABILITY,140.82.32.54__032explorer.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032explorer.actinium.org,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,140.82.32.54__032explorer.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032explorer.actinium.org,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,140.82.32.54__032explorer.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032explorer.actinium.org,2020-12-22T23:46:26.979058
status,AVAILABILITY,140.82.32.54__032explorer.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032explorer.actinium.org,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,140.82.32.54__032fastpool.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032fastpool.actinium.org,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-21T12:17,AVAILABILITY,140.82.32.54__032fastpool.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032fastpool.actinium.org,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,140.82.32.54__032fastpool.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032fastpool.actinium.org,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,140.82.32.54__032fastpool.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032fastpool.actinium.org,2020-12-22T23:46:26.979058
status,AVAILABILITY,140.82.32.54__032fastpool.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032fastpool.actinium.org,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,140.82.32.54__032faucet.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032faucet.actinium.org,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-21T12:17,AVAILABILITY,140.82.32.54__032faucet.actinium.org,/home/travis/build/PyFunceble/ci_test/140.82.32.54\\032faucet.actinium.org,2020-12-22T23:46:26.979058
